Year,Rank,Id,Name,Position,Team,Receptions,Targets,Yards,YPC,Touchdowns,YPG,Fumbles
2003,154,2145,Bubba Franks,TE,GB,30,0,241,8.0,4,15.1,0
2003,155,1100,Chris Doering,WR,PIT,18,0,240,13.3,1,15.0,0
2003,156,2678,Brandon Manumaleuna,TE,STL,29,0,238,8.2,2,14.9,0
2003,157,1229,Marc Edwards,FB,JAX,31,0,226,7.3,0,14.1,0
2003,157,2825,Michael L. Lewis,WR,NO,12,0,226,18.8,1,17.4,0
2003,159,57,Wesley Walls,TE,GB,20,0,222,11.1,1,15.9,0
2003,160,518,Mack Strong,FB,SEA,29,0,216,7.4,0,13.5,0
2003,161,754,William Henderson,FB,GB,24,0,214,8.9,3,13.4,0
2003,162,2696,Tony Stewart,TE,CIN,21,0,212,10.1,0,13.3,0
2003,162,4582,Brandon Lloyd,WR,SF,14,0,212,15.1,2,13.3,0
2003,164,385,Garrison Hearst,RB,SF,25,0,211,8.4,1,17.6,0
2003,164,1858,Brandon Stokley,WR,IND,22,0,211,9.6,3,35.2,0
2003,164,4669,David Tyree,WR,NYG,16,0,211,13.2,0,13.2,0
2003,167,4503,Bethel Johnson,WR,NE,16,0,209,13.1,2,13.9,0
2003,168,2538,Bryan Gilmore,WR,ARI,17,0,208,12.2,2,14.9,0
2003,169,3562,DeShaun Foster,RB,CAR,26,0,207,8.0,2,14.8,2
2003,170,4242,Tony Fisher,RB,GB,21,0,206,9.8,2,13.7,0
2003,171,2136,Jamal Lewis,RB,BAL,26,0,205,7.9,0,12.8,0
2003,172,1332,Matt Hatchette,WR,JAX,15,0,203,13.5,2,33.8,0
2003,173,1301,Kris Mangum,TE,CAR,17,0,199,11.7,0,12.4,0
2003,174,120,Ed McCaffrey,WR,DEN,19,0,195,10.3,0,16.3,0
2003,174,1832,Dan Campbell,TE,DAL,20,0,195,9.8,1,12.2,0
2003,176,1513,Tim Dwight,WR,SD,14,0,193,13.8,0,21.4,0
2003,177,4939,Mike Furrey,WR,STL,20,0,189,9.5,0,14.5,1
2003,178,2297,Chad Morton,RB,WSH,15,0,187,12.5,1,12.5,0
2003,179,1568,Fred Beasley,RB,SF,19,0,184,9.7,1,11.5,0
2003,179,2863,Marcel Shipp,RB,ARI,30,0,184,6.1,0,11.5,0
2003,181,2699,Derrick Blaylock,RB,KC,15,0,181,12.1,1,11.3,1
2003,182,2138,Thomas Jones,RB,TB,24,0,180,7.5,0,11.3,1
2003,183,4390,Nate Poole,WR,ARI,13,0,177,13.6,1,11.8,0
2003,184,1165,Brandon Bennett,RB,CIN,25,0,176,7.0,1,11.0,0
2003,184,3761,Rock Cartwright,RB,WSH,18,0,176,9.8,0,11.7,1
2003,186,749,Frank Sanders,WR,BAL,14,0,170,12.1,0,13.1,0
2003,186,1472,Pat Johnson,WR,WSH,15,0,170,11.3,1,10.6,0
2003,188,3584,Ladell Betts,RB,WSH,15,0,167,11.1,0,18.6,0
